name	sample	num_seqs	limit
RNA_Comp_4e104_2M	RNA_Comp_4e104		2M
RNA_Comp_2e105_50k	RNA_Comp_2e105	2195297	50k
RNA_Comp_2e105_100k	RNA_Comp_2e105		100k
RNA_Comp_2e105_200k	RNA_Comp_2e105		200k
RNA_Comp_2e105_300k	RNA_Comp_2e105		300k
RNA_Comp_2e105_500k	RNA_Comp_2e105		500k
RNA_Comp_2e105_800k	RNA_Comp_2e105		800k
RNA_Comp_2e105_1M	RNA_Comp_2e105		1M
RNA_Comp_2e105_1.5M	RNA_Comp_2e105		1.5M
RNA_Comp_2e105_2M	RNA_Comp_2e105		2M
DNA_PS_1e106_50k	DNA_PS_1e106	2231931	50k
DNA_PS_1e106_100k	DNA_PS_1e106		100k
DNA_PS_1e106_200k	DNA_PS_1e106		200k
DNA_PS_1e106_300k	DNA_PS_1e106		300k
DNA_PS_1e106_500k	DNA_PS_1e106		500k
DNA_PS_1e106_800k	DNA_PS_1e106		800k
DNA_PS_1e106_1M	DNA_PS_1e106		1M
DNA_PS_1e106_1.5M	DNA_PS_1e106		1.5M
DNA_PS_1e106_2M	DNA_PS_1e106		2M
RNA_PS_1e106_50k	RNA_PS_1e106	2446170	50k
RNA_PS_1e106_100k	RNA_PS_1e106		100k
RNA_PS_1e106_200k	RNA_PS_1e106		200k
RNA_PS_1e106_300k	RNA_PS_1e106		300k
RNA_PS_1e106_500k	RNA_PS_1e106		500k
RNA_PS_1e106_800k	RNA_PS_1e106		800k
RNA_PS_1e106_1M	RNA_PS_1e106		1M
RNA_PS_1e106_1.5M	RNA_PS_1e106		1.5M
RNA_PS_1e106_2M	RNA_PS_1e106		2M
DNA_PS_8e103_50k	DNA_PS_8e103	3116475	50k
DNA_PS_8e103_100k	DNA_PS_8e103		100k
DNA_PS_8e103_200k	DNA_PS_8e103		200k
DNA_PS_8e103_300k	DNA_PS_8e103		300k
DNA_PS_8e103_500k	DNA_PS_8e103		500k
DNA_PS_8e103_800k	DNA_PS_8e103		800k
DNA_PS_8e103_1M	DNA_PS_8e103		1M
DNA_PS_8e103_1.5M	DNA_PS_8e103		1.5M
DNA_PS_8e103_2M	DNA_PS_8e103		2M
DNA_PS_8e103_3M	DNA_PS_8e103		3M
DNA_PS_4e104_50k	DNA_PS_4e104	3121812	50k
DNA_PS_4e104_100k	DNA_PS_4e104		100k
DNA_PS_4e104_200k	DNA_PS_4e104		200k
DNA_PS_4e104_300k	DNA_PS_4e104		300k
DNA_PS_4e104_500k	DNA_PS_4e104		500k
DNA_PS_4e104_800k	DNA_PS_4e104		800k
DNA_PS_4e104_1M	DNA_PS_4e104		1M
DNA_PS_4e104_1.5M	DNA_PS_4e104		1.5M
DNA_PS_4e104_2M	DNA_PS_4e104		2M
DNA_PS_4e104_3M	DNA_PS_4e104		3M
DNA_Grab_1e106_50k	DNA_Grab_1e106	3660665	50k
DNA_Grab_1e106_100k	DNA_Grab_1e106		100k
DNA_Grab_1e106_200k	DNA_Grab_1e106		200k
DNA_Grab_1e106_300k	DNA_Grab_1e106		300k
DNA_Grab_1e106_500k	DNA_Grab_1e106		500k
DNA_Grab_1e106_800k	DNA_Grab_1e106		800k
DNA_Grab_1e106_1M	DNA_Grab_1e106		1M
DNA_Grab_1e106_1.5M	DNA_Grab_1e106		1.5M
DNA_Grab_1e106_2M	DNA_Grab_1e106		2M
DNA_Grab_1e106_3M	DNA_Grab_1e106		3M
RNA_Grab_4e104_50k	RNA_Grab_4e104	3878301	50k
RNA_Grab_4e104_100k	RNA_Grab_4e104		100k
RNA_Grab_4e104_200k	RNA_Grab_4e104		200k
RNA_Grab_4e104_300k	RNA_Grab_4e104		300k
RNA_Grab_4e104_500k	RNA_Grab_4e104		500k
